wavelength abs_coeff
0.258555 11.7184
0.292776 7.21046
0.321293 2.00783
0.341255 0.575972
0.349810 0.0842160
0.378327 0.0153137
0.412548 0.0100996
0.546578 0.00844947
0.632129 0.00828363
0.763308 0.00525085
0.831749 0.00525085
0.934411 0.00693020
0.991445 0.00627631
1.05703 0.00390036
1.13973 0.00158280
1.19962 0.00118742
1.22243 0.00101330
1.24810 0.00105428
1.27947 0.00109691
1.34791 0.00249699
1.37357 0.0128116
1.42490 0.0220970
1.45342 0.0194258
1.48194 0.0103018
1.52471 0.00820194
1.57605 0.00932977
1.71293 0.0241585
1.89259 0.0566537
2.02947 0.0948516
2.11502 0.165226
2.23479 0.260657
2.33745 0.260657
2.46293 0.399161
2.59981 0.532070
2.65114 0.611261
2.67966 0.806758
2.70532 2.21701
2.75380 7.88316
2.79373 10.6127
2.99335 7.88316
3.22719 7.57676
3.45532 8.79115
3.63213 11.4884
3.80323 10.2002
3.96293 10.8251
4.20817 13.8687
4.25380 11.6028
4.35076 11.8351
4.43631 15.6202
4.68726 15.9329
4.79563 15.4662
4.98384 15.6202
5.00000 15.6202
