wavelength,n
0,1.55051
0.2,1.55051
0.22,1.52845
0.25,1.50745
0.3,1.48779
0.32,1.48274
0.36,1.47529
0.4,1.47012
0.45,1.46557
0.488,1.46302
0.5,1.46233
0.55,1.46008
0.588,1.4586
0.6,1.45804
0.633,1.45702
0.65,1.45653
0.7,1.45529
0.75,1.45424
0.8,1.45332
0.85,1.4525
0.9,1.45175
1,1.45042
1.064,1.44962
1.1,1.4492
1.2,1.44805
1.3,1.44692
1.5,1.44462
1.6,1.44342
1.7,1.44217
1.8,1.44087
1.9,1.43951
2,1.43809
2.2,1.43501
2.4,1.43163
2.6,1.42789
2.8,1.42377
3,1.41925
3.2,1.41427
3.37,1.4099
3.507,1.40566
3.707,1.39936
9999999999999,1.39936
