wavelength, transmissivity
0.22,32.531184
0.22068077, 32.531184
0.22184255, 38.270539
0.22282826, 41.140023
0.22410747, 44.332236
0.22546158, 47.058046
0.22714551, 50.285940
0.22964123, 52.724208
0.23173224, 55.126795
0.23728095, 58.101719
0.24154618, 59.427034
0.24540631, 60.860165
0.24838708, 60.894613
0.24970488, 63.441068
0.25150455, 64.731687
0.25256019, 68.928492
0.25380499, 71.259735
0.25537752, 74.846427
0.25654723, 77.715822
0.25731361, 80.047294
0.25976936, 83.633564
0.26189678, 86.179631
0.26413529, 88.474525
0.26758863, 90.625339
0.29276001, 90.756797
0.29529738, 91.437197
0.29923527, 91.363565
0.30523054, 93.272725
0.65019429, 93.254804
0.99893501, 93.236688
1.0090518, 93.246627
1.2706127, 93.207761
1.3154712, 92.368319
1.3454021, 90.726459
1.4089230, 90.762360
1.4574728, 91.856308
1.5228569, 92.111070
1.9151987, 92.034532
1.9805938, 91.815058
2.0404088, 90.537722
2.0871594, 88.676831
2.1077873, 85.393469
2.1489211, 84.043345
2.1937591, 84.079415
2.2366939, 85.611172
2.2945418, 88.565500
2.3393602, 89.440605
2.3860546, 89.987374
2.4290320, 89.695145
2.4888367, 88.855566
2.5056930, 87.067907
2.5378143, 71.636697
2.5791883, 59.999293
2.6102165, 11.371559
2.6552249, 4.1116865
2.7318383, 3.5273125
2.7916098, 4.1104427
2.8207706, 35.446246
2.8747379, 44.565681
2.9117475, 59.813861
2.9488330, 71.815347
3.0047614, 76.958476
3.0925343, 78.526303
3.1392125, 79.766187
3.2531660, 80.275864
3.3260343, 80.056321
3.3727772, 78.523747
3.4456753, 77.027414
3.4905482, 75.567817
3.5132122, 65.097934
3.5679854, 39.707557
3.6207992, 18.220528
3.6489914, 11.033768
3.7367965, 11.215366
3.8544441, 13.548994
4.0039095, 13.438192
4.0749938, 9.6071743
4.1348165, 8.0015216
4.1797337, 4.6449788
4.2096689, 2.8207203
4.2657507, 1.3975003
4.3105555, 2.8562800
4.3684596, 3.4029475
4.4301139, 3.3659055
4.4637661, 2.3806465
4.4749979, 1.4320717
4.5000000, 0

