wavenumber, emissivity
399.11, 0.50431
435.76, 0.57282
451.87, 0.73530
465.35, 0.83710
508.99, 0.77248
536.40, 0.63152
551.44, 0.57670
595.02, 0.55672
654.87, 0.58646
702.43, 0.63695
784.05, 0.67177
824.84, 0.69799
860.10, 0.78804
891.26, 0.89375
917.06, 0.93877
979.59, 0.99356
1077.6, 0.99628
1153.8, 0.99077
1306.3, 0.97624
1411.1, 0.97073
1581.2, 0.93661
1720.1, 0.89938
1804.5, 0.85824
1925.8, 0.77011
2041.6, 0.68785
2171.1, 0.55469
2296.5, 0.42153
2405.5, 0.29894
2525.4, 0.21002
2616.7, 0.15518
2800.5, 0.098746
3001.9, 0.076369
3310.9, 0.062183
3610.3, 0.060920
4202.4, 0.064270
4524.9, 0.070832
4637.9, 0.073148
4799.8, 0.076233
4906.0, 0.076593
4990.4, 0.076177
50000, 0.076177
